[2025-10-15T12:45:38.423Z] WARN: ⚠️ Throttle limit exceeded | User: anonymous | IP: ::1 | Route: /health | Limit: 10 | TTL: 60s
[2025-10-15T12:45:38.550Z] WARN: ⚠️ Throttle limit exceeded | User: anonymous | IP: ::1 | Route: /health | Limit: 10 | TTL: 60s
[2025-10-15T12:45:38.660Z] WARN: ⚠️ Throttle limit exceeded | User: anonymous | IP: ::1 | Route: /health | Limit: 10 | TTL: 60s
[2025-10-15T12:45:38.768Z] WARN: ⚠️ Throttle limit exceeded | User: anonymous | IP: ::1 | Route: /health | Limit: 10 | TTL: 60s
[2025-10-15T12:45:38.881Z] WARN: ⚠️ Throttle limit exceeded | User: anonymous | IP: ::1 | Route: /health | Limit: 10 | TTL: 60s
[2025-10-15T12:52:19.329Z] WARN: ⚠️ Throttle limit exceeded | User: anonymous | IP: ::1 | Route: /health | Limit: 10 | TTL: 60s
[2025-10-15T12:52:19.455Z] WARN: ⚠️ Throttle limit exceeded | User: anonymous | IP: ::1 | Route: /health | Limit: 10 | TTL: 60s
[2025-10-15T12:52:19.564Z] WARN: ⚠️ Throttle limit exceeded | User: anonymous | IP: ::1 | Route: /health | Limit: 10 | TTL: 60s
[2025-10-15T12:52:19.672Z] WARN: ⚠️ Throttle limit exceeded | User: anonymous | IP: ::1 | Route: /health | Limit: 10 | TTL: 60s
[2025-10-15T12:52:19.782Z] WARN: ⚠️ Throttle limit exceeded | User: anonymous | IP: ::1 | Route: /health | Limit: 10 | TTL: 60s
[2025-10-15T12:52:19.905Z] WARN: ⚠️ Throttle limit exceeded | User: anonymous | IP: ::1 | Route: /health | Limit: 10 | TTL: 60s
[2025-10-15T12:52:20.015Z] WARN: ⚠️ Throttle limit exceeded | User: anonymous | IP: ::1 | Route: /health | Limit: 10 | TTL: 60s
[2025-10-15T12:56:00.471Z] WARN: ⚠️ Throttle limit exceeded | User: anonymous | IP: ::1 | Route: /health | Limit: 10 | TTL: 60s
[2025-10-15T12:56:00.594Z] WARN: ⚠️ Throttle limit exceeded | User: anonymous | IP: ::1 | Route: /health | Limit: 10 | TTL: 60s
[2025-10-15T12:56:00.705Z] WARN: ⚠️ Throttle limit exceeded | User: anonymous | IP: ::1 | Route: /health | Limit: 10 | TTL: 60s
[2025-10-15T12:56:00.813Z] WARN: ⚠️ Throttle limit exceeded | User: anonymous | IP: ::1 | Route: /health | Limit: 10 | TTL: 60s
[2025-10-15T12:56:00.923Z] WARN: ⚠️ Throttle limit exceeded | User: anonymous | IP: ::1 | Route: /health | Limit: 10 | TTL: 60s
[2025-10-15T12:56:01.033Z] WARN: ⚠️ Throttle limit exceeded | User: anonymous | IP: ::1 | Route: /health | Limit: 10 | TTL: 60s
[2025-10-15T14:29:42.138Z] WARN: ⚠️ Throttle limit exceeded | User: anonymous | IP: ::1 | Route: /health | Limit: 10 | TTL: 60s
[2025-10-15T14:29:42.341Z] WARN: ⚠️ Throttle limit exceeded | User: anonymous | IP: ::1 | Route: /health | Limit: 10 | TTL: 60s
[2025-10-15T14:29:42.467Z] WARN: ⚠️ Throttle limit exceeded | User: anonymous | IP: ::1 | Route: /health | Limit: 10 | TTL: 60s
[2025-10-15T14:29:42.592Z] WARN: ⚠️ Throttle limit exceeded | User: anonymous | IP: ::1 | Route: /health | Limit: 10 | TTL: 60s
[2025-10-15T14:29:42.703Z] WARN: ⚠️ Throttle limit exceeded | User: anonymous | IP: ::1 | Route: /health | Limit: 10 | TTL: 60s
